Recall,FP_h,TP,FP,evaluator,theta,N,seed,pctl
0.1797752808988764,3.4722838137472287,208,87,eval_at,7.627362823486331,10,1,96.0
0.16248919619706137,3.1130820399113084,188,78,eval_at,8.50521778583526,10,1,96.5
0.14779602420051857,2.753880266075388,171,69,eval_at,9.471718225479124,10,1,97.0
0.12186689714779603,2.2350332594235036,141,56,eval_at,10.752773475646984,10,1,97.5
0.10458081244598098,1.9157427937915745,121,48,eval_at,12.487367076873774,10,1,98.0
0.08556611927398444,1.436807095343681,99,36,eval_at,14.728744478225709,10,1,98.5
0.055315471045808126,1.0776053215077606,64,27,eval_at,19.05652425766002,10,1,99.0
0.020743301642178046,0.7982261640798227,24,20,eval_at,29.784960403441993,10,1,99.5
0.4407951598962835,42.106430155210646,510,1055,eval_at,0.06911791861057281,10,2,50.0
0.4399308556611927,42.026607538802665,509,1053,eval_at,0.08968508109450336,10,2,50.5
0.4407951598962835,41.787139689578716,510,1047,eval_at,0.11183521196246152,10,2,51.0
0.442523768366465,41.587583148558764,512,1042,eval_at,0.13084904313087467,10,2,51.5
0.442523768366465,41.747228381374725,512,1046,eval_at,0.15470889806747437,10,2,52.0
0.445980985306828,41.388026607538805,516,1037,eval_at,0.1732219386845828,10,2,52.5
0.44684528954191877,41.747228381374725,517,1046,eval_at,0.19629420876503031,10,2,53.0
0.44684528954191877,41.547671840354774,517,1041,eval_at,0.217678212672472,10,2,53.5
0.4511668107173725,41.108647450110865,522,1030,eval_at,0.23784792751073844,10,2,54.0
0.45030250648228176,41.467849223946786,521,1039,eval_at,0.2588753655552864,10,2,54.5
0.4520311149524633,41.667405764966745,523,1044,eval_at,0.280573183298111,10,2,55.0
0.45375972342264476,41.507760532150776,525,1040,eval_at,0.30083881542086605,10,2,55.5
0.45635263612791704,41.707317073170735,528,1045,eval_at,0.3227710270881658,10,2,56.0
0.452895419187554,41.507760532150776,524,1040,eval_at,0.34634290561079845,10,2,56.5
0.4546240276577355,41.18847006651885,526,1032,eval_at,0.36931747257709485,10,2,57.0
0.4554883318928263,40.988913525498894,527,1027,eval_at,0.3911873124539852,10,2,57.5
0.452895419187554,41.268292682926834,524,1034,eval_at,0.4170681416988371,10,2,58.0
0.4520311149524633,40.749445676274945,523,1021,eval_at,0.44050813779234843,10,2,58.5
0.4520311149524633,40.589800443458984,523,1017,eval_at,0.4652027553319931,10,2,59.0
0.4554883318928263,40.509977827051,527,1015,eval_at,0.48816205397248263,10,2,59.5
0.45635263612791704,40.54988913525499,528,1016,eval_at,0.5119720935821529,10,2,60.0
0.4589455488331893,40.390243902439025,531,1012,eval_at,0.5368806749582292,10,2,60.5
0.4606741573033708,39.75166297117517,533,996,eval_at,0.5616350662708282,10,2,61.0
0.46240276577355227,39.91130820399113,535,1000,eval_at,0.5846587741374965,10,2,61.5
0.4606741573033708,39.71175166297118,533,995,eval_at,0.6080358421802523,10,2,62.0
0.45980985306828004,39.27272727272727,532,984,eval_at,0.6306486129760742,10,2,62.5
0.45980985306828004,39.35254988913526,532,986,eval_at,0.6559813874959944,10,2,63.0
0.4589455488331893,39.23281596452328,531,983,eval_at,0.68061066031456,10,2,63.5
0.4580812445980985,39.19290465631929,530,982,eval_at,0.7057729601860047,10,2,64.0
0.45721694036300775,39.07317073170732,529,979,eval_at,0.734571963250637,10,2,64.5
0.45721694036300775,38.75388026607539,529,971,eval_at,0.7633469432592396,10,2,65.0
0.45721694036300775,38.15521064301552,529,956,eval_at,0.7946773546934129,10,2,65.5
0.45635263612791704,38.03547671840355,528,953,eval_at,0.8246857011318207,10,2,66.0
0.45635263612791704,38.19512195121951,528,957,eval_at,0.8519479712843898,10,2,66.5
0.4580812445980985,37.83592017738359,530,948,eval_at,0.8816411733627322,10,2,67.0
0.46153846153846156,37.47671840354767,534,939,eval_at,0.9108267426490784,10,2,67.5
0.45980985306828004,36.87804878048781,532,924,eval_at,0.9420884227752689,10,2,68.0
0.46240276577355227,36.79822616407983,535,922,eval_at,0.9713667812943466,10,2,68.5
0.46499567847882456,36.75831485587583,538,921,eval_at,1.0011530089378353,10,2,69.0
0.4641313742437338,36.19955654101996,537,907,eval_at,1.0382283079624173,10,2,69.5
0.46499567847882456,36.15964523281597,538,906,eval_at,1.0701887130737304,10,2,70.0
0.4641313742437338,35.48115299334812,537,889,eval_at,1.1012950241565704,10,2,70.5
0.46240276577355227,35.1219512195122,535,880,eval_at,1.1300831544399261,10,2,71.0
