species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Short-finned pilot whale,4,8,0.6758712798293456,0.11709284732540914,5,11,4
Short-finned pilot whale,4,9,0.7861141463381688,0.09580853483423366,5,11,4
Short-finned pilot whale,8,0,0.7880357288792995,0.11424061476743387,5,11,8
Short-finned pilot whale,8,1,0.7692601255066888,0.1403695333973144,5,11,8
Short-finned pilot whale,8,2,0.7862585664181,0.10539841781434602,5,11,8
Short-finned pilot whale,8,3,0.8291156960133008,0.05213056018583766,5,11,8
Short-finned pilot whale,8,4,0.79492224359723,0.08634383534489293,5,11,8
Short-finned pilot whale,8,5,0.7600222519003257,0.14339522536156646,5,11,8
Short-finned pilot whale,8,6,0.808358454352075,0.06919361365383334,5,11,8
Short-finned pilot whale,8,7,0.7651475149429374,0.14074814900360244,5,11,8
Short-finned pilot whale,8,8,0.7857308542479634,0.09430976850501274,5,11,8
Short-finned pilot whale,8,9,0.7470066646365487,0.10623315907048175,5,11,8
Short-finned pilot whale,16,0,0.7825910768259441,0.12469485681887786,5,11,9
Short-finned pilot whale,16,1,0.7825910768259441,0.12469485681887786,5,11,9
Short-finned pilot whale,16,2,0.7825910768259441,0.12469485681887786,5,11,9
Short-finned pilot whale,16,3,0.7825910768259441,0.12469485681887786,5,11,9
Short-finned pilot whale,16,4,0.7825910768259441,0.12469485681887786,5,11,9
Short-finned pilot whale,16,5,0.7825910768259441,0.12469485681887786,5,11,9
Short-finned pilot whale,16,6,0.7825910768259441,0.12469485681887786,5,11,9
Short-finned pilot whale,16,7,0.7825910768259441,0.12469485681887786,5,11,9
Short-finned pilot whale,16,8,0.7825910768259441,0.12469485681887786,5,11,9
Short-finned pilot whale,16,9,0.7825910768259441,0.12469485681887786,5,11,9
Short-finned pilot whale,all,0,0.7825910768259441,0.12469485681887786,5,11,9
Rough-toothed dolphin,1,0,0.5301672447568713,0.14107030540022003,3,8,1
Rough-toothed dolphin,1,1,0.5841465884455679,0.20898209761847747,3,8,1
Rough-toothed dolphin,1,2,0.5066043750975069,0.16907596474053904,2,8,1
Rough-toothed dolphin,1,3,0.6025495047687395,0.1935683954503471,3,8,1
Rough-toothed dolphin,1,4,0.41472423206708536,0.09050063612055428,3,8,1
Rough-toothed dolphin,1,5,0.3024706255961009,0.06963188513169401,3,8,1
Rough-toothed dolphin,1,6,0.5863599966485479,0.20632412436213854,3,8,1
Rough-toothed dolphin,1,7,0.5279538365538913,0.14406925036577684,3,8,1
