species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Minke whale,8,7,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,8,8,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,8,9,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,16,0,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,16,1,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,16,2,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,16,3,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,16,4,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,16,5,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,16,6,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,16,7,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,16,8,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,16,9,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,all,0,0.9709150009053309,0.02338325949670829,4,8,6
Sperm whale,1,0,0.6861027461175785,0.09085606127988777,4,32,1
Sperm whale,1,1,0.6106404364252116,0.20357471811910594,5,32,1
Sperm whale,1,2,0.4221215634370333,0.027630628332577102,3,32,1
Sperm whale,1,3,0.506055935866807,0.12278666803256347,5,32,1
Sperm whale,1,4,0.5862288483294343,0.14841669757728093,5,32,1
Sperm whale,1,5,0.5785259689179802,0.15376924108039308,5,32,1
Sperm whale,1,6,0.5887026482067439,0.11152421169969637,5,32,1
Sperm whale,1,7,0.5504534509894474,0.1488288470268341,5,32,1
Sperm whale,1,8,0.49287566832636287,0.15757987173391205,3,32,1
Sperm whale,1,9,0.6225574796373468,0.135372164012807,4,32,1
Sperm whale,2,0,0.4724664624605678,0.05661359037883152,5,32,2
Sperm whale,2,1,0.611531359267145,0.20845305595243024,5,32,2
Sperm whale,2,2,0.48203907613338276,0.11300142496802301,5,32,2
Sperm whale,2,3,0.5654070703767526,0.09718843481813003,5,32,2
Sperm whale,2,4,0.5306257960952403,0.07327336154935153,5,32,2
Sperm whale,2,5,0.5748332141038116,0.07790550235982266,5,32,2
Sperm whale,2,6,0.6461245140746594,0.16543970011473166,5,32,2
Sperm whale,2,7,0.5527717228652476,0.10040163801034258,5,32,2
Sperm whale,2,8,0.5680256298797722,0.09296385288833192,5,32,2
Sperm whale,2,9,0.6029920217835502,0.15713651943098467,5,32,2
Sperm whale,4,0,0.7441880885189084,0.1108689962450977,5,32,4
Sperm whale,4,1,0.5957349925582368,0.18588209739739492,5,32,4
Sperm whale,4,2,0.555472538620557,0.08880282925269276,5,32,4
Sperm whale,4,3,0.6778084316079303,0.1003675282522162,5,32,4
Sperm whale,4,4,0.5633404562530462,0.09588867678846179,5,32,4
Sperm whale,4,5,0.5748208163879045,0.13837077562327896,5,32,4
Sperm whale,4,6,0.6318162345365328,0.17270218705766938,5,32,4
Sperm whale,4,7,0.5527612314914376,0.17221586433567532,5,32,4
Sperm whale,4,8,0.41729325743118517,0.211543972297741,5,32,4
Sperm whale,4,9,0.5253937884377912,0.16917359284418146,5,32,4
Sperm whale,8,0,0.6891216897917744,0.1633042777284642,5,32,8
Sperm whale,8,1,0.5424108912691983,0.08920685970074962,5,32,8
Sperm whale,8,2,0.606044876344187,0.09938226914494325,5,32,8
Sperm whale,8,3,0.6512368883527815,0.12352653450464972,5,32,8
Sperm whale,8,4,0.5521872368286603,0.07584938997671573,5,32,8
Sperm whale,8,5,0.6774047602950394,0.10895746360611022,5,32,8
Sperm whale,8,6,0.6005228441885063,0.0705993213069284,5,32,8
Sperm whale,8,7,0.6553292587233172,0.12906716330786616,5,32,8
Sperm whale,8,8,0.5482574759523804,0.14496566572976932,5,32,8
Sperm whale,8,9,0.5159134953399505,0.1666924285231767,5,32,8
Sperm whale,16,0,0.5820462280451754,0.1791970035966216,5,32,16
Sperm whale,16,1,0.6653348241778017,0.11731118875174122,5,32,16
Sperm whale,16,2,0.7150997819404016,0.0950399421411136,5,32,16
Sperm whale,16,3,0.6683350373866717,0.11197312536802864,5,32,16
Sperm whale,16,4,0.6977919606998684,0.12245492367808114,5,32,16
Sperm whale,16,5,0.6499826989044719,0.14801636191449405,5,32,16
Sperm whale,16,6,0.6869677737485081,0.12190777151551153,5,32,16
Sperm whale,16,7,0.7152024832882885,0.09424533893989351,5,32,16
Sperm whale,16,8,0.7298376318701918,0.1572039886620719,5,32,16
Sperm whale,16,9,0.6481297754011521,0.12842583920230435,5,32,16
Sperm whale,all,0,0.724154622816327,0.14338864596957185,5,32,26
False killer whale,1,0,0.6805663596161773,0.12878388696143508,5,13,1
False killer whale,1,1,0.7833831116586519,0.1677847771129446,5,13,1
False killer whale,1,2,0.7874489940163032,0.1527218750759503,4,13,1
False killer whale,1,3,0.7754900516944682,0.16748209094236122,3,13,1
False killer whale,1,4,0.6818674304815994,0.14495706417543822,5,13,1
