species,N,seed,auc_mean,auc_std,n_folds_used,n_pos_total
Offshore spotted dolphin,300,3,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,300,4,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,1000,0,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,1000,1,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,1000,2,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,1000,3,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,1000,4,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,all,0,0.961730248917749,0.01962046718269714,5,123
Striped dolphin,10,0,0.8248763765715417,0.03482421625560935,5,261
Striped dolphin,10,1,0.8483595728171199,0.04202425421422876,5,261
Striped dolphin,10,2,0.8493882890890555,0.04575323308731104,5,261
Striped dolphin,10,3,0.7930368079247796,0.04455192385665769,5,261
Striped dolphin,10,4,0.8431071346106723,0.039704694729184836,5,261
Striped dolphin,30,0,0.9164710648039067,0.019325964708252055,5,261
Striped dolphin,30,1,0.8932552760721982,0.029077406510595902,5,261
Striped dolphin,30,2,0.9056321253432102,0.010434408328217362,5,261
Striped dolphin,30,3,0.9055683226953863,0.01722600910289783,5,261
Striped dolphin,30,4,0.9188078372099598,0.014456937850270338,5,261
Striped dolphin,100,0,0.947436080036316,0.010296010686382074,5,261
Striped dolphin,100,1,0.9516641755453665,0.007222926316216194,5,261
Striped dolphin,100,2,0.9514409367165853,0.007355058784334013,5,261
Striped dolphin,100,3,0.9460783541340735,0.01857627974982232,5,261
Striped dolphin,100,4,0.9526435023310024,0.0069572762903900125,5,261
Striped dolphin,300,0,0.9660837869873837,0.005341495268936232,5,261
Striped dolphin,300,1,0.9660837869873837,0.005341495268936232,5,261
Striped dolphin,300,2,0.9660837869873837,0.005341495268936232,5,261
Striped dolphin,300,3,0.9660837869873837,0.005341495268936232,5,261
Striped dolphin,300,4,0.9660837869873837,0.005341495268936232,5,261
Striped dolphin,1000,0,0.9660837869873837,0.005341495268936232,5,261
Striped dolphin,1000,1,0.9660837869873837,0.005341495268936232,5,261
Striped dolphin,1000,2,0.9660837869873837,0.005341495268936232,5,261
Striped dolphin,1000,3,0.9660837869873837,0.005341495268936232,5,261
Striped dolphin,1000,4,0.9660837869873837,0.005341495268936232,5,261
Striped dolphin,all,0,0.9660837869873837,0.005341495268936232,5,261
