evaluator,return,theta,hours,N,seed,pctl
eval_at,"[0.2065687121866897, 6.505543237250555, 239, 163, 918, 402]",6.6073471355438205,25.055555555555554,10,0,94.0
eval_at,"[0.1944684528954192, 5.98669623059867, 225, 150, 932, 375]",7.126357333660127,25.055555555555554,10,0,94.5
eval_at,"[0.17718236819360414, 5.547671840354767, 205, 139, 952, 344]",7.721421384811361,25.055555555555554,10,0,95.0
eval_at,"[0.1616248919619706, 4.909090909090909, 187, 123, 970, 310]",8.528848576545705,25.055555555555554,10,0,95.5
eval_at,"[0.1529818496110631, 4.150776053215078, 177, 104, 980, 281]",9.442570571899417,25.055555555555554,10,0,96.0
eval_at,"[0.14088159031979255, 3.7117516629711753, 163, 93, 994, 256]",10.742775988578787,25.055555555555554,10,0,96.5
eval_at,"[0.12273120138288678, 3.192904656319291, 142, 80, 1015, 222]",12.512682752609253,25.055555555555554,10,0,97.0
eval_at,"[0.1097666378565255, 2.9135254988913526, 127, 73, 1030, 200]",14.32841014862062,25.055555555555554,10,0,97.5
eval_at,"[0.0898876404494382, 2.434589800443459, 104, 61, 1053, 165]",16.46210212707517,25.055555555555554,10,0,98.0
eval_at,"[0.07346585998271392, 1.9157427937915745, 85, 48, 1072, 133]",20.206813879013055,25.055555555555554,10,0,98.5
eval_at,"[0.049265341400172864, 1.3170731707317074, 57, 33, 1100, 90]",25.39319324493413,25.055555555555554,10,0,99.0
eval_at,"[0.028522039757994815, 0.5587583148558759, 33, 14, 1124, 47]",39.63196796417143,25.055555555555554,10,0,99.5
eval_at,"[0.3595505617977528, 40.350332594235034, 416, 1011, 741, 1427]",0.05156704969704151,25.055555555555554,10,1,50.0
eval_at,"[0.3621434745030251, 40.270509977827054, 419, 1009, 738, 1428]",0.07310438159853215,25.055555555555554,10,1,50.5
eval_at,"[0.3621434745030251, 40.54988913525499, 419, 1016, 738, 1435]",0.09460248842835443,25.055555555555554,10,1,51.0
eval_at,"[0.3630077787381158, 40.709534368070955, 420, 1020, 737, 1440]",0.11669451955705885,25.055555555555554,10,1,51.5
eval_at,"[0.3630077787381158, 40.54988913525499, 420, 1016, 737, 1436]",0.13838320672512053,25.055555555555554,10,1,52.0
eval_at,"[0.36387208297320656, 40.709534368070955, 421, 1020, 736, 1441]",0.15910225994884988,25.055555555555554,10,1,52.5
eval_at,"[0.36646499567847884, 40.82926829268293, 424, 1023, 733, 1447]",0.18056833118200308,25.055555555555554,10,1,53.0
eval_at,"[0.3716508210890233, 40.949002217294904, 430, 1026, 727, 1456]",0.20544413141906262,25.055555555555554,10,1,53.5
eval_at,"[0.37337942955920483, 40.82926829268293, 432, 1023, 725, 1455]",0.22636750221252455,25.055555555555554,10,1,54.0
eval_at,"[0.3759723422644771, 40.709534368070955, 435, 1020, 722, 1455]",0.2520864690840247,25.055555555555554,10,1,54.5
eval_at,"[0.3759723422644771, 41.068736141906875, 435, 1029, 722, 1464]",0.2743369415402413,25.055555555555554,10,1,55.0
