Recall,FP_h,TP,FP,evaluator,theta,pctl,theta_q,theta_p,pctl_q,pctl_p
0.5315471045808124,30.452328159645234,615,763,eval_union,,99.5,2.6745355892181393,2.1719389438629153,98.0,80.0
0.5315471045808124,29.733924611973396,615,745,eval_union,,99.5,2.6745355892181393,2.2400103437900545,98.0,80.5
0.5298184961106309,28.89578713968958,613,724,eval_union,,99.5,2.6745355892181393,2.3093816184997573,98.0,81.0
0.5306828003457217,28.017738359201775,614,702,eval_union,,99.5,2.6745355892181393,2.389580998420715,98.0,81.5
0.5246326707000865,27.179600886917964,607,681,eval_union,,99.5,2.6745355892181393,2.465525913238525,98.0,82.0
0.5237683664649957,26.261640798226168,606,658,eval_union,,99.5,2.6745355892181393,2.550545418262481,98.0,82.5
0.5203111495246326,25.223946784922397,602,632,eval_union,,99.5,2.6745355892181393,2.642178962230681,98.0,83.0
0.5185825410544511,24.62527716186253,600,617,eval_union,,99.5,2.6745355892181393,2.743435935974121,98.0,83.5
0.5194468452895419,23.388026607538805,601,586,eval_union,,99.5,2.6745355892181393,2.838485832214352,98.0,84.0
0.5168539325842697,22.78935698447894,598,571,eval_union,,99.5,2.6745355892181393,2.9505861079692837,98.0,84.5
0.5116681071737251,22.19068736141907,592,556,eval_union,,99.5,2.6745355892181393,3.0633385419845585,98.0,85.0
0.5099394987035436,21.272727272727273,590,533,eval_union,,99.5,2.6745355892181393,3.188520919084548,98.0,85.5
0.5056179775280899,20.394678492239468,585,511,eval_union,,99.5,2.6745355892181393,3.3199927473068236,98.0,86.0
0.5012964563526361,19.955654101995567,580,500,eval_union,,99.5,2.6745355892181393,3.461715782880787,98.0,86.5
0.49265341400172863,19.07760532150776,570,478,eval_union,,99.5,2.6745355892181393,3.611596016883839,98.0,87.0
0.48314606741573035,18.31929046563193,559,459,eval_union,,99.5,2.6745355892181393,3.757173776626587,98.0,87.5
0.47796024200518583,17.92017738359202,553,449,eval_union,,99.5,2.6745355892181393,3.9160948753356952,98.0,88.0
0.4701815038893691,17.24168514412417,544,432,eval_union,,99.5,2.6745355892181393,4.093383531570432,98.0,88.5
0.46499567847882456,17.002217294900223,538,426,eval_union,,99.5,2.6745355892181393,4.248846001625061,98.0,89.0
0.4546240276577355,16.124168514412418,526,404,eval_union,,99.5,2.6745355892181393,4.422906408309941,98.0,89.5
0.44857389801210024,15.685144124168515,519,393,eval_union,,99.5,2.6745355892181393,4.612645578384398,98.0,90.0
0.43215211754537597,15.006651884700666,500,376,eval_union,,99.5,2.6745355892181393,4.830001890659335,98.0,90.5
0.4131374243733794,14.328159645232818,478,359,eval_union,,99.5,2.6745355892181393,5.0861229276657305,98.0,91.0
0.39844425237683667,13.809312638580932,461,346,eval_union,,99.5,2.6745355892181393,5.32815319776535,98.0,91.5
0.3811581676750216,13.170731707317074,441,330,eval_union,,99.5,2.6745355892181393,5.616868019104008,98.0,92.0
0.36646499567847884,12.372505543237251,424,310,eval_union,,99.5,2.6745355892181393,5.945296394824982,98.0,92.5
0.34485738980121,11.813747228381375,399,296,eval_union,,99.5,2.6745355892181393,6.349316420555114,98.0,93.0
