pctl_q,theta_q,pctl_p,theta_p,Recall,FP_h,TP,FP,Pred
97,2.389908382892608,78.5,1.7916628944873827,0.5151253241140882,33.565410199556545,596,841,1437
97,2.389908382892608,79.0,1.8576587069034574,0.5090751944684528,33.006651884700666,589,827,1416
97,2.389908382892608,79.5,1.9154004043340684,0.5073465859982714,32.208425720620845,587,807,1394
97,2.389908382892608,80.0,1.9741851329803468,0.5038893690579084,31.37028824833703,583,786,1369
97,2.389908382892608,80.5,2.036969654560089,0.5047536732929991,30.851441241685148,584,773,1357
97,2.389908382892608,81.0,2.102254722118378,0.5012964563526361,30.133037694013307,580,755,1335
97,2.389908382892608,81.5,2.175994237661361,0.4969749351771824,29.21507760532151,575,732,1307
97,2.389908382892608,82.0,2.248897409439087,0.49265341400172863,28.49667405764967,570,714,1284
97,2.389908382892608,82.5,2.3326381504535667,0.4909248055315471,27.578713968957874,568,691,1259
97,2.389908382892608,83.0,2.425430073738098,0.4874675885911841,27.05986696230599,564,678,1242
97,2.389908382892608,83.5,2.5196004760265356,0.4874675885911841,26.221729490022174,564,657,1221
97,2.389908382892608,84.0,2.6304725933074953,0.4857389801210026,25.503325942350333,562,639,1201
97,2.389908382892608,84.5,2.7276616275310506,0.4840103716508211,24.62527716186253,560,617,1177
97,2.389908382892608,85.0,2.8380211830139164,0.48055315471045806,23.90687361419069,556,599,1155
97,2.389908382892608,85.5,2.955703905820846,0.47536732929991354,23.18847006651885,550,581,1131
97,2.389908382892608,86.0,3.081022396087646,0.47191011235955055,22.390243902439025,546,561,1107
97,2.389908382892608,86.5,3.2219283390045166,0.4710458081244598,21.951219512195124,545,550,1095
97,2.389908382892608,87.0,3.3582502841949444,0.46672428694900603,20.913525498891353,540,524,1064
97,2.389908382892608,87.5,3.52468004822731,0.4606741573033708,19.995565410199557,533,501,1034
97,2.389908382892608,88.0,3.7051178741455093,0.4520311149524633,19.516629711751666,523,489,1012
97,2.389908382892608,88.5,3.874412554502486,0.43820224719101125,18.95787139689579,507,475,982
97,2.389908382892608,89.0,4.0701590919494635,0.4243733794295592,18.478935698447895,491,463,954
97,2.389908382892608,89.5,4.255578207969666,0.4226447709593777,18.119733924611975,489,454,943
97,2.389908382892608,90.0,4.457726860046381,0.4044943820224719,17.720620842572064,468,444,912
97,2.389908382892608,90.5,4.675087914466858,0.39066551426101986,17.361419068736144,452,435,887
97,2.389908382892608,91.0,4.933004894256597,0.3777009507346586,16.84257206208426,437,422,859
