species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Offshore spotted dolphin,2,4,0.4602732875633128,0.12266423245748284,4,11,2
Offshore spotted dolphin,2,5,0.706789281657905,0.2236035023682201,4,11,2
Offshore spotted dolphin,2,6,0.572634645953604,0.16161475378277973,4,11,2
Offshore spotted dolphin,2,7,0.5175777217362101,0.22646890736631217,4,11,2
Offshore spotted dolphin,2,8,0.5378854766952385,0.12962867907046333,4,11,2
Offshore spotted dolphin,2,9,0.4833011623846226,0.22911824016026786,4,11,2
Offshore spotted dolphin,4,0,0.5579027373393936,0.17171438737716138,4,11,4
Offshore spotted dolphin,4,1,0.527719126603299,0.17049298712272126,4,11,4
Offshore spotted dolphin,4,2,0.6607916523789005,0.09831524712867276,4,11,4
Offshore spotted dolphin,4,3,0.5097509173436454,0.20765244237652988,4,11,4
Offshore spotted dolphin,4,4,0.5937136565066214,0.14344653273898575,4,11,4
Offshore spotted dolphin,4,5,0.495786426117901,0.22917533600919895,4,11,4
Offshore spotted dolphin,4,6,0.4922566904983188,0.23641382603965952,4,11,4
Offshore spotted dolphin,4,7,0.48996418000914177,0.2205590511663426,4,11,4
Offshore spotted dolphin,4,8,0.5728121968620552,0.141340458106678,4,11,4
Offshore spotted dolphin,4,9,0.5716930800130474,0.10028883259203562,4,11,4
Offshore spotted dolphin,8,0,0.477120328299739,0.22881054488496103,4,11,8
Offshore spotted dolphin,8,1,0.5106421522627393,0.19171156678991705,4,11,8
Offshore spotted dolphin,8,2,0.4754763045968918,0.23085239622151035,4,11,8
Offshore spotted dolphin,8,3,0.4786740210299023,0.226896840619888,4,11,8
